city,area,expenditures,communal_meal_parti,common_purchase_food_parti,community_workshop_parti,work_exchange_parti,fundraising_parti,communal_child_care_parti,prepare_for_fund_parti,communal_construction_parti,property_invasion_parti,security_committee_parti,election_champaign_parti,denomination,religiousness,bins,n_bins,binnr,score2_1,score2_2,score2_1sq,score2_2sq,score2_1cu,score2_2cu,moremoneyold,moremoneynew,winnersvsalwayslosers,losersvsalwayswinners,group,householdsize,ageresponder,schooling_resp,protestant,attendance,attendpermonth,Received_BDH
sto domingo,bamboli,40,0,0,0,0,0,0,0,1,0,0,0,other,10,40.599998,144,23,4.4060006,4.4060006,19.412842,19.412842,85.53299,85.53299,0,0,0,,always-losers,1,48,6,0,4 to 6 times a week,20,0
sto domingo,bamboli,240,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,6,39.799999,139,21,3.2950006,3.2950006,10.857029,10.857029,35.773914,35.773914,0,0,0,,always-losers,3,45,8,1,once a week,4,0
sto domingo,bamboli,300,0,0,0,0,1,0,0,1,0,1,1,catholic,8,39.400002,133,20,3.1570001,3.1570001,9.9666491,9.9666491,31.464712,31.464712,0,0,0,,always-losers,5,35,9,0,2 to 3 times a month,2.5,0
sto domingo,bamboli,300,0,0,0,0,0,0,0,1,0,1,0,other,10,37.799999,110,16,1.4970001,1.4970001,2.2410092,2.2410092,3.3547912,3.3547912,0,0,0,,always-losers,5,34,12,0,2 to 3 times a week,10,0
sto domingo,bamboli,360,0,0,0,0,0,0,0,0,0,0,0,catholic,8,35,146,9,-1.3820015,0,1.9099282,0,-2.6395237,0,0,1,1,,winners,5,33,6,0,once a week,4,1
quito,la ecuatoriana,230,0,0,0,0,0,0,0,0,0,0,0,catholic,8,39.799999,139,21,3.4999986,3.4999986,12.24999,12.24999,42.874947,42.874947,0,0,0,,always-losers,2,36,9,0,once a month,1,0
quito,la ecuatoriana,205,0,0,0,0,0,0,0,1,0,1,0,catholic,5,33.400002,113,5,-3.0039992,0,9.0240116,0,-27.108124,0,1,1,,1,always-winners,5,33,3,0,once a month,1,1
quito,la ecuatoriana,415,0,0,0,0,0,0,0,0,0,0,0,non-catholic christian,8,37.400002,103,15,1.0780014,1.0780014,1.162087,1.162087,1.2527313,1.2527313,0,0,0,,always-losers,5,39,6,1,once a week,4,0
sto domingo,bamboli,219,0,0,0,0,0,0,0,0,0,0,0,catholic,6,39,110,19,2.7899995,2.7899995,7.7840972,7.7840972,21.717627,21.717627,0,0,0,,always-losers,4,34,12,0,once a week,4,0
sto domingo,bamboli,100,0,0,0,0,0,0,0,0,0,0,0,catholic,9,39,110,19,2.7170014,2.7170014,7.3820968,7.3820968,20.057167,20.057167,0,0,0,,always-losers,3,42,6,0,once a month,1,0
sto domingo,bamboli,50,0,0,0,0,0,0,0,1,0,0,0,catholic,8,36.200001,171,12,-.13300094,0,.01768925,0,-.0023526868,0,0,1,1,,winners,1,60,3,0,2 to 3 times a month,2.5,1
sto domingo,bamboli,150,0,0,0,0,0,0,0,0,0,0,0,catholic,8,31.799999,47,1,-4.4670005,0,19.954094,0,-89.134941,0,1,1,,1,always-winners,2,64,0,0,2 to 3 times a month,2.5,1
sto domingo,bamboli,300,0,0,0,0,0,0,0,0,0,0,0,catholic,5,37,85,14,.49000016,.49000016,.24010016,.24010016,.11764912,.11764912,1,0,,0,losers,4,40,6,0,once a week,4,0
sto domingo,bamboli,280,0,0,0,0,0,0,0,0,0,0,0,catholic,8,32.599998,81,3,-3.901998,0,15.225589,0,-59.410217,0,1,1,,1,always-winners,5,33,6,0,once a week,4,1
